date,num
2019-07-16,65
2019-07-17,77
2019-07-18,87
2019-07-19,63
2019-07-20,74
2019-07-21,37
2019-07-22,38
2019-07-23,64
2019-07-23,58
2019-07-23,59
2019-07-23,56
2019-07-24,56
2019-07-25,63
2019-07-26,64
2019-07-27,62
2019-07-29,40
2019-07-30,59
2019-07-31,52
2019-08-01,42
2019-08-02,61
2019-08-05,37
2019-08-06,59
2019-08-07,75
2019-08-08,60
2019-08-09,63
2019-08-10,49
